# level_assignment log_likelihood tiebreaker ID
0 -8.552640185037303127e+02 1.440075494667957812e-01 0
0 -1.000000000000000053e+300 6.873462447508831286e-01 0
0 -2.164969985564541162e+02 2.300665698470396592e-01 1
0 -4.009362152004021027e+02 1.371682204677554529e-01 2
1 -1.784234123058019748e+02 3.070237829378670291e-01 1
3 1.392363352203661861e+02 7.439218162026006720e-02 2
0 -1.000000000000000053e+300 7.256736228121194454e-01 2
2 -1.695313318441661465e+02 1.995375035648692674e-01 4
4 1.607868138284252097e+02 7.648432956656894266e-01 0
1 -3.891771373971791945e+02 2.474817726292076747e-01 3
5 1.545199144589811340e+02 1.088356815862139143e-01 1
4 1.664425076729650073e+02 8.253135254557970590e-01 3
1 -3.265295508384064078e+02 8.757864494305174219e-01 1
0 -3.489669005506611938e+02 1.169291499879514529e-01 0
1 -6.389463046254578558e+02 2.384226972719281912e-01 4
6 1.739392074412652107e+02 2.092179585038249356e-01 2
6 1.762328779800855330e+02 4.291468231046490778e-01 3
3 8.885199356607523669e+01 6.828724421188279159e-01 4
5 1.582258459827718866e+02 8.604799964779061838e-01 4
5 1.730315530166072335e+02 2.347093760358890946e-01 3
6 1.748259719607405600e+02 3.919221154140899444e-01 2
9 1.801806563908283181e+02 2.382938068871145454e-01 1
8 1.801068966949605681e+02 4.503231786019969984e-01 3
1 -1.494643992269380760e+03 1.477189490495827151e-01 4
3 6.710153449641632051e+01 5.388250020381423200e-01 0
4 1.385554200142501031e+02 9.814247448845647703e-02 0
2 8.210494973958384435e+01 2.904052129303371643e-01 0
4 1.240501658287919895e+02 3.025749897267915323e-01 0
11 1.803553751595296717e+02 4.914507276325918994e-02 2
1 -3.552770290846364105e+02 4.000537045432063787e-01 4
10 1.801812479255358426e+02 8.591212622599255777e-01 2
5 1.671836944732767449e+02 4.500751904804158321e-01 2
8 1.786755156455164411e+02 5.142266618260079580e-01 4
10 1.804481505068827403e+02 2.161180885566738041e-02 1
6 1.799289218783019351e+02 5.246064421874314654e-01 2
5 1.563889075367408736e+02 2.984260477254617738e-01 0
3 1.458495716665473196e+02 5.277418114082834677e-01 4
4 1.508457462432223224e+02 3.874377565572109106e-01 0
12 1.805363898405303189e+02 8.352640681476408702e-01 3
7 1.765054714166834060e+02 6.506396152722146997e-01 1
0 -7.731700426651109410e+02 7.255120451556932304e-01 0
3 1.237179622020942134e+02 9.640484499801496021e-01 0
6 1.733707810266468243e+02 8.038491796075701856e-01 0
11 1.804213203727798600e+02 8.214550889383952503e-01 1
5 1.636772087191573917e+02 1.365233553344048500e-01 4
8 1.790694874103674579e+02 9.802288838006852911e-01 1
12 1.804515058656595556e+02 1.605546854626745679e-01 0
14 1.805438505304085766e+02 1.888936466885950682e-01 4
15 1.805325273653198224e+02 9.330447776550770955e-01 4
13 1.805094700737146809e+02 4.473313592656288917e-02 1
8 1.787701489010488274e+02 8.140111189500005562e-01 0
16 1.805392816269080640e+02 5.556153971099023758e-01 4
14 1.805483722529644410e+02 6.510976210124255203e-01 1
6 1.791420484408173479e+02 6.527096179007161325e-01 2
12 1.804624649985248652e+02 4.895911633675632813e-02 4
10 1.803578169870356760e+02 7.837124074547233699e-01 4
18 1.805518169063405196e+02 7.760417829719880034e-01 0
18 1.805522302960893342e+02 5.459615444356877845e-01 1
17 1.805474070266832314e+02 4.938930825045860784e-01 2
17 1.805459870107637812e+02 6.796312809722263593e-01 0
14 1.805288975328093102e+02 3.063402388536135348e-03 0
18 1.805516866983055593e+02 8.761737442798556152e-02 1
13 1.804869859006825550e+02 8.607775300829735299e-01 4
19 1.805536990466660541e+02 7.281592560074834353e-01 0
13 1.805037472605920641e+02 7.491697363167937329e-01 1
8 1.788181239229960511e+02 2.435812254565647705e-01 4
9 1.799992014002099552e+02 9.669843372070250354e-01 1
8 1.800047521308863168e+02 2.655567687026348378e-01 1
9 1.797392668292040980e+02 9.471341766546940155e-01 3
16 1.805425652016015192e+02 9.252426119550315464e-01 0
15 1.805529029467656983e+02 6.096852168255514348e-01 0
20 1.805535173108719107e+02 3.919269880944493689e-01 2
15 1.805518353162936478e+02 8.629989548332749061e-02 2
20 1.805537005297204587e+02 2.314881445960512707e-01 3
20 1.805541857154194076e+02 9.486190765151214510e-01 0
14 1.805197301113186938e+02 9.772961872555498974e-01 3
11 1.804346031807236841e+02 5.591895231178760639e-01 4
19 1.805524721361347815e+02 3.648737228628511353e-01 2
1 -9.849591218365800671e+01 3.136557362056584530e-01 1
11 1.803435601431612554e+02 9.040284415116879302e-01 4
14 1.805288298216187570e+02 3.550775819385705301e-01 3
19 1.805524511133882015e+02 1.823807209222567671e-01 0
5 1.652898778087720189e+02 5.152595026455121241e-01 1
9 1.802404372659224236e+02 5.538090713349808070e-01 4
16 1.805411259334131557e+02 7.387929181838533976e-01 2
3 1.751684149892049618e+02 9.403022003480980828e-01 1
23 1.805545739097228761e+02 8.154776941516161948e-01 0
22 1.805544998850792240e+02 1.233147694291928248e-01 0
24 1.805546538019555953e+02 9.657429716574679190e-01 0
24 1.805546421624380002e+02 9.822602202709127539e-01 3
4 1.277688341154071310e+02 5.997480953752581945e-01 1
25 1.805547275219150265e+02 4.803618503047472066e-01 3
19 1.805523609348216496e+02 6.393778327095690495e-01 2
26 1.805547245280980917e+02 4.911935396384589092e-01 0
19 1.805530443805932919e+02 7.885687726000796260e-01 2
1 -2.357547812422219238e+02 9.061742018204044236e-01 1
27 1.805547385371996825e+02 1.806948138959999506e-01 3
18 1.805526681346602231e+02 6.836024796769926137e-01 2
23 1.805545355548065913e+02 8.005090442782381022e-01 2
27 1.805547452716675423e+02 3.586430344902797329e-01 3
23 1.805545518434678343e+02 9.495900093837192912e-01 3
25 1.805546796779140095e+02 7.730528945352341808e-01 0
15 1.805356252717080565e+02 3.504034144447416566e-01 4
14 1.805230544780478112e+02 5.502158936469115913e-01 4
23 1.805546658391593837e+02 3.133747962829281919e-01 3
5 1.578295949968636478e+02 6.560587823431539567e-01 1
22 1.805544999556269659e+02 6.529154770256589968e-01 3
27 1.805547385688543613e+02 2.567958944695376555e-01 3
26 1.805547189356973945e+02 4.229409216076174260e-01 2
25 1.805547231541051758e+02 3.136384836068837334e-01 0
5 1.804285631829400813e+02 4.508603196592704254e-01 4
15 1.805345813158867827e+02 7.894531218199656308e-01 4
12 1.805358397187894184e+02 2.788768372899527725e-01 4
26 1.805547203316124012e+02 5.697916139722272177e-01 0
26 1.805547340878601403e+02 2.567998279590949506e-01 0
24 1.805547026734144538e+02 6.050827569277323903e-01 2
22 1.805544804140529891e+02 4.460854504582130176e-01 2
21 1.805544603753649255e+02 5.979899551951040060e-01 0
21 1.805541956221135251e+02 7.917145235202193154e-01 0
27 1.805547417499423943e+02 6.412493376741963402e-01 2
17 1.805478103955729807e+02 7.105650562260752423e-01 4
21 1.805541535022721575e+02 8.081351188544321287e-03 0
21 1.805544596876359833e+02 2.698985074887790270e-01 3
22 1.805545782219828936e+02 8.461152920814959399e-01 0
3 1.457004740318290033e+02 4.231774760048221395e-01 1
28 1.805547447589631815e+02 6.531751081932785086e-01 2
24 1.805546636802457101e+02 7.801219276177205897e-01 3
5 1.747929725491302975e+02 9.896655918372501137e-01 1
11 1.803449346568152407e+02 9.269005926636175730e-02 1
4 1.391159033166363770e+02 6.587917373789018427e-01 4
7 1.762765436669812971e+02 5.731524187008019133e-01 1
29 1.805547450012554123e+02 3.513255099754011845e-01 2
1 -7.444938848543612266e+02 4.680621895495054585e-01 1
18 1.805539321057958659e+02 7.846713722958574833e-01 0
22 1.805546130398445541e+02 2.695647806573631677e-01 3
5 1.575252147162905771e+02 1.592085524006859598e-01 4
27 1.805547358826711388e+02 5.431960576440821864e-01 2
27 1.805547421631775933e+02 7.327752873556589996e-01 2
13 1.805305047185361786e+02 1.359103766648761535e-01 0
19 1.805530527105801752e+02 3.589461741681173601e-01 3
14 1.805528011978663017e+02 5.411272803085736410e-02 3
2 -2.067697770278170992e+02 8.999205386003128471e-03 1
10 1.801630025476184187e+02 1.639129343607019784e-01 4
13 1.804876985170808439e+02 6.178245205089395731e-02 0
12 1.804501249165102195e+02 6.922820894010439652e-02 0
3 5.111505436136789626e+01 2.003025757293059039e-01 1
6 1.789747384867146991e+02 7.890219826666883263e-02 1
3 6.856127770353144513e+01 8.235443955167882635e-01 4
8 1.791658200262650666e+02 6.886490742661612874e-01 1
0 -1.000000000000000053e+300 3.527741677037887769e-02 4
11 1.803471266732704521e+02 4.894738001280511952e-01 1
9 1.801179332892754132e+02 2.506205351014951788e-01 1
16 1.805438925207954526e+02 7.636516426497625964e-01 0
11 1.804777049058542389e+02 5.313209535954008800e-01 4
12 1.804463668247661303e+02 5.055435636484792994e-01 4
27 1.805547382498867250e+02 9.132975771568616619e-01 3
28 1.805547445644516813e+02 7.472171722116911496e-01 3
27 1.805547439601009501e+02 7.647680652552755198e-01 2
2 -1.243674292785394471e+02 8.435934500222729282e-01 4
27 1.805547474184597547e+02 4.377152504690720036e-01 2
6 1.761668758452366319e+02 8.747693026204645950e-01 4
28 1.805547443042707414e+02 2.638538906365583622e-02 3
29 1.805547466063541719e+02 2.805329791327832445e-01 2
6 1.769410650279735364e+02 6.583577705101424371e-01 1
2 -2.760624023755740382e+02 5.608675463293858465e-01 1
2 -7.635576101337591126e+00 1.281165677984965612e-01 1
20 1.805535786932402118e+02 6.641691217044466411e-01 0
16 1.805395177611858344e+02 8.499035305564512921e-01 3
15 1.805319881065834693e+02 8.801522175176259566e-01 0
12 1.804346010097082740e+02 2.937580896828581034e-01 1
19 1.805526080454297357e+02 4.043357101358593386e-01 3
17 1.805520175087920620e+02 5.886284835593613707e-02 3
17 1.805483145867924009e+02 6.085188510847030358e-02 3
17 1.805482298703760193e+02 1.441900885792405662e-01 0
29 1.805547449610589865e+02 5.465178350585376821e-01 2
27 1.805547388208586597e+02 8.877030007983159887e-01 2
14 1.805250269585151273e+02 2.780372862982436466e-01 3
2 -1.495999025738713328e+02 4.867263641033890420e-01 4
2 1.125831860980732984e+02 4.622122409309286639e-01 4
11 1.804087370749156207e+02 5.410683934394330263e-01 3
